story,storyline1,storyline2,tag,stimType,list
B&D,FIRST hid behind the door and when the man entered the kitchen he stabbed him in the back. He wiped the blood off the,and rummaged through the drawers.,weapon,filler,all
sleep,"FIRST woke up with a start, shocked that his alarm was going off already. He didn't sleep well again, probably because of the",that always came from his neighbors.,neighborhood,filler,all
sister,"Checking his texts, FIRST knew his sister would be mad at him so he called her immediately. ""","! I'm sorry for missing your messages!"" he said, genuinely feeling bad.",names,filler,all
alcohol,FIRST was excited to meet up with his friends over the weekend. It had been a while since they all got together and drank,"together, so he was excited to have the weekend plans.",food,filler,all
movies,"FIRST had bought tickets to go to the movies with his partner, and was excited. He had been wanting to see",for a while now.,movie,filler,all
driving,"FIRST was getting a little tired on the drive, and felt his eyes getting heavy until a jolt of adrenaline woke him up. He didn't expect to see",run across the road in front of him.,driving,filler,all
lost item,"After searching all around the house, FIRST was ready to give up. He couldn't believe he had lost his favorite",.,item,filler,all
dentist,FIRST groaned as he checked the time. He remembered he had a,"appointment today, which he was dreading.",appointment,filler,all
friend,"FIRST saw the name pop up on his phone and couldn't contain his smile. "" ",""" he said, unable to believe it had been so long since he last talked to his friend.",names,filler,all
job,FIRST knew he had to get a lot of sleep that night. It was going to be a long day at the,"tomorrow, and he knew that without eight hours of sleep he would get really tired on the job.",work,filler,all